OBJECT_NAME,OBJECT_ID,EPOCH,MEAN_MOTION,ECCENTRICITY,INCLINATION,RA_OF_ASC_NODE,ARG_OF_PERICENTER,MEAN_ANOMALY,EPHEMERIS_TYPE,CLASSIFICATION_TYPE,NORAD_CAT_ID,ELEMENT_SET_NO,REV_AT_EPOCH,BSTAR,MEAN_MOTION_DOT,MEAN_MOTION_DDOT
COSMOS 2251,1993-036A,2024-10-09T13:52:23.346336,14.32988769,0.0025353,74.0420,19.8984,211.3103,148.6540,0,U,22675,999,63625,2.5853E-04,6.84E-06,0
COSMOS 2251 DEB,1993-036E,2024-10-09T12:43:08.950080,14.32400134,0.0014253,74.0392,27.0524,152.3880,219.4024,0,U,33757,999,81850,2.0678E-04,5.34E-06,0
COSMOS 2251 DEB,1993-036F,2024-10-09T12:00:54.605664,14.46603648,0.0015692,74.0301,300.8368,112.2765,17.0891,0,U,33758,999,82085,2.6567E-03,9.585E-05,0
COSMOS 2251 DEB,1993-036G,2024-10-09T00:29:05.469216,14.88306229,0.0006266,74.0064,130.5000,104.4605,47.3752,0,U,33759,999,82663,1.237E-02,1.16386E-03,0
COSMOS 2251 DEB,1993-036H,2024-10-09T13:16:15.394080,14.35200860,0.0020648,74.0341,348.8936,198.0705,268.9023,0,U,33760,999,81966,4.5141E-04,1.268E-05,0
COSMOS 2251 DEB,1993-036J,2024-10-09T07:52:05.414880,14.40404320,0.0022055,74.0385,327.7337,159.5440,325.8642,0,U,33761,999,82046,2.1912E-03,6.959E-05,0
COSMOS 2251 DEB,1993-036K,2024-10-09T12:48:49.958784,14.33435590,0.0015366,74.0444,14.5935,189.3113,182.4017,0,U,33762,999,81897,2.594E-04,6.91E-06,0
COSMOS 2251 DEB,1993-036M,2024-10-09T13:55:53.414112,14.37962987,0.0022925,74.0367,344.3242,49.3574,60.4297,0,U,33764,999,81984,1.2109E-03,3.647E-05,0
COSMOS 2251 DEB,1993-036N,2024-10-09T13:01:34.286880,14.83959795,0.0106798,74.0162,322.0167,166.2974,319.3084,0,U,33765,999,83198,2.6676E-03,2.4606E-04,0
COSMOS 2251 DEB,1993-036P,2024-10-09T11:46:44.005440,14.32704284,0.0065995,74.1884,193.2817,159.5740,200.8075,0,U,33766,999,81592,1.9854E-03,5.514E-05,0
