OBJECT_NAME,OBJECT_ID,EPOCH,MEAN_MOTION,ECCENTRICITY,INCLINATION,RA_OF_ASC_NODE,ARG_OF_PERICENTER,MEAN_ANOMALY,EPHEMERIS_TYPE,CLASSIFICATION_TYPE,NORAD_CAT_ID,ELEMENT_SET_NO,REV_AT_EPOCH,BSTAR,MEAN_MOTION_DOT,MEAN_MOTION_DDOT
IRIDIUM 33,1997-051C,2024-10-09T09:31:40.408608,14.34559018,0.0008276,86.3844,248.2348,160.5895,199.5617,0,U,24946,999,41678,5.7892E-04,1.653E-05,0
IRIDIUM 33 DEB,1997-051L,2024-10-09T09:59:29.777568,14.41540070,0.0013336,86.4005,242.1540,124.0923,236.1545,0,U,33773,999,82158,1.9296E-03,6.295E-05,0
IRIDIUM 33 DEB,1997-051N,2024-10-09T14:23:06.101088,14.39244445,0.0016041,86.3659,232.3132,132.4118,42.0335,0,U,33775,999,81962,1.4814E-03,4.619E-05,0
IRIDIUM 33 DEB,1997-051P,2024-10-09T10:53:28.305312,14.36804262,0.0015406,86.3999,260.7392,156.4635,318.4079,0,U,33776,999,81914,1.7656E-03,5.238E-05,0
IRIDIUM 33 DEB,1997-051Q,2024-10-09T13:08:35.330496,14.50179467,0.0005453,86.3838,221.0407,283.5737,76.4860,0,U,33777,999,82300,3.6556E-03,1.4245E-04,0
IRIDIUM 33 DEB,1997-051T,2024-10-09T14:18:17.012736,14.39905501,0.0012899,86.3462,214.3079,134.3626,39.4279,0,U,33850,999,81971,2.2246E-03,7.018E-05,0
IRIDIUM 33 DEB,1997-051W,2024-10-08T23:20:38.389920,13.95830406,0.0220485,86.0046,177.7776,111.6983,262.4089,0,U,33853,999,79342,7.417E-03,1.2449E-04,0
IRIDIUM 33 DEB,1997-051AC,2024-10-09T12:30:53.312832,14.70952539,0.0041848,86.3368,201.7501,71.4467,289.1288,0,U,33859,999,82143,1.2035E-02,7.5492E-04,0
IRIDIUM 33 DEB,1997-051AD,2024-10-09T14:25:50.350080,14.57652307,0.001352,86.3907,215.7069,16.5230,157.5112,0,U,33860,999,82447,5.3396E-03,2.4455E-04,0
IRIDIUM 33 DEB,1997-051AF,2024-10-09T08:50:51.552672,14.58546636,0.0061389,86.4134,225.3911,97.0213,32.1066,0,U,33862,999,82536,6.6767E-03,3.1987E-04,0
IRIDIUM 33 DEB,1997-051AH,2024-10-09T13:33:13.446144,14.82572299,0.0005834,86.2708,121.4953,168.8082,252.7351,0,U,33864,999,82688,9.1777E-03,7.4563E-04,0
