OBJECT_NAME,OBJECT_ID,EPOCH,MEAN_MOTION,ECCENTRICITY,INCLINATION,RA_OF_ASC_NODE,ARG_OF_PERICENTER,MEAN_ANOMALY,EPHEMERIS_TYPE,CLASSIFICATION_TYPE,NORAD_CAT_ID,ELEMENT_SET_NO,REV_AT_EPOCH,BSTAR,MEAN_MOTION_DOT,MEAN_MOTION_DDOT
SOYUZ-MS 26,2024-162A,2024-10-09T13:00:16.333344,15.49541134,0.0008027,51.6395,108.9836,61.2002,349.0996,0,U,61043,999,47612,6.8853E-04,3.8437E-04,0
SPACEMOBILE-003,2024-163A,2024-10-09T08:59:52.099584,15.17279934,0.001364,52.9762,258.3711,43.6099,316.5969,0,U,61045,999,410,3.2277E-04,6.208E-05,0
SPACEMOBILE-005,2024-163B,2024-10-09T07:19:10.050816,15.17511615,0.001421,52.9780,258.6563,47.6136,312.6057,0,U,61046,999,408,3.4828E-04,6.772E-05,0
SPACEMOBILE-001,2024-163C,2024-10-09T07:17:59.445600,15.17558797,0.001402,52.9745,258.6318,48.2338,311.9850,0,U,61047,999,408,3.4729E-04,6.761E-05,0
SPACEMOBILE-002,2024-163D,2024-10-09T05:36:25.270848,15.17832526,0.0013436,52.9784,258.9134,51.2001,309.0189,0,U,61048,999,407,4.0357E-04,7.973E-05,0
SPACEMOBILE-004,2024-163E,2024-10-09T07:06:45.129024,15.18071251,0.0013896,52.9784,258.5992,56.2066,304.0249,0,U,61049,999,408,8.0284E-04,1.6315E-04,0
STARLINK-11286 [DTC],2024-164A,2024-10-09T09:51:05.942880,15.76696038,0.0002098,53.1569,336.9203,42.7008,317.4175,0,U,61050,999,432,3.0762E-04,4.9917E-04,0
STARLINK-11252 [DTC],2024-164B,2024-10-09T09:44:01.398336,15.76779244,0.000165,53.1562,336.8866,137.0772,223.0378,0,U,61051,999,432,3.7146E-04,6.0713E-04,0
STARLINK-11284 [DTC],2024-164C,2024-10-09T09:37:01.447680,15.76666678,0.0001216,53.1552,336.8547,114.5373,245.5775,0,U,61052,999,432,3.6361E-04,5.9106E-04,0
STARLINK-11230 [DTC],2024-164D,2024-10-09T11:01:16.385952,15.76686061,0.0000901,53.1544,336.5050,92.2887,267.8237,0,U,61053,999,433,4.4794E-04,7.315E-04,0
STARLINK-11294 [DTC],2024-164E,2024-10-09T10:54:14.579424,15.76632454,0.0001243,53.1541,336.4742,109.7444,250.3711,0,U,61054,999,433,-1.242E-04,-2.0844E-04,0
STARLINK-11268 [DTC],2024-164F,2024-10-09T09:15:56.364192,15.76663464,0.0001409,53.1553,336.7584,81.1520,278.9661,0,U,61055,999,432,6.5351E-06,4.12E-06,0
STARLINK-11156 [DTC],2024-164G,2024-10-09T10:40:10.668288,15.76743602,0.000117,53.1558,336.4116,147.7518,212.3574,0,U,61056,999,433,1.7876E-04,2.872E-04,0
STARLINK-11231 [DTC],2024-164H,2024-10-09T14:00:01.000224,15.69726792,0.000113,53.1574,335.8604,115.5679,242.9572,0,U,61057,999,528,1.146E-04,1.3327E-04,0
